name,pe,roic,pe_rank,roic_rank,rank,Full Name,Website
BGS,8.101973987704723,0.09512742772546096,294,707,1001,"B&G Foods, Inc. B&G Foods, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BHE,81.58399146211312,0.01369093000627821,255,367,622,"Benchmark Electronics, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BHLB,-2.2387761741182737,-0.04164927789962395,33,932,965,"Berkshire Hills Bancorp, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BIG,3.8920517337659946,0.274234470662492,204,1102,1306,"Big Lots, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BIO,4.828516194874187,0.4104062487482185,369,818,1187,Bio,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BIP,125.50250000000001,0.012891554793868418,823,584,1407,Brookfield Infrastructure Partners LP Limited Partnership Units,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BIT,-15.463077964434083,-0.07783372197862955,863,1168,2031,BlackRock Multi,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BKD,13.985761774710738,0.014055168027821495,725,962,1687,Brookdale Senior Living Inc. Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BKE,17.74047223617189,0.21176194507310725,293,1123,1416,"Buckle, Inc. (The) Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BKH,17.81664273663492,0.03729323117052406,945,339,1284,Black Hills Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BLK,22.56340071597729,0.0378683662156593,754,108,862,"BlackRock, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BLL,47.56907505128205,0.049753765932792585,787,199,986,Ball Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BLX,10.379487302061548,0.020886761119986545,24,301,325,"Banco Latinoamericano de Comercio Exterior, S.A.",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BMA,0.027485928284156344,0.23152891823682645,743,150,893,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BMI,61.514707872241246,0.1611707892981068,580,144,724,"Badger Meter, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BMY,-3122.8672727272733,0.03284414496726055,452,531,983,Bristol,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BNS,11.249885424327108,0.04544552179546119,447,892,1339,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BOH,24.14039290818184,0.009206201008513317,352,1005,1357,Bank of Hawaii Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BOOT,160.00686977251124,0.020771883793444367,576,575,1151,"Boot Barn Holdings, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BPY,-11.73867842876165,-0.00320854463430128,810,949,1759,Brookfield Property Partners L.P. Limited Partnership Units,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BR,32.18450057848052,0.16122773853347924,744,389,1133,"Broadridge Financial Solutions, Inc.Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BRC,27.45174268164567,0.1377698149130809,79,706,785,Brady Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BRO,26.520332144945815,0.09438668872709895,292,711,1003,"Brown & Brown, Inc. Common Stock",https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BRX,50.02539575648041,0.015439923720994475,664,302,966,Brixmor Property Group Inc. Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BST,4.483055557892242,0.31345075172228315,673,619,1292,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
BSX,15.077553576248313,-0.014232291326289802,218,381,599,Boston Scientific Corporation Common Stock,https://finance.yahoo.com/quote/AOS?p=AOS&.tsrc=fin-srch
